id,datetime,upserted_rows
44362,1712947236061,0
44363,1712947535966,0
44364,1712947835951,0
44365,1712948135970,0
44366,1712948435969,0
44367,1712948735959,0
44368,1712949035958,0
44369,1712949335973,0
44370,1712949635963,0
44371,1712949935969,0
44372,1712950235850,0
44373,1712950535970,0
44374,1712950835972,0
44375,1712951135967,0
44376,1712951435851,0
44377,1712951735923,0
44378,1712952035952,0
44379,1712952335965,0
44380,1712952635977,0
44381,1712952935960,0
44382,1712953235960,0
44383,1712953535966,0
44384,1712953835963,0
44385,1712954135971,0
44386,1712954435972,0
44387,1712954735970,0
44388,1712955035946,0
44389,1712955335952,0
44390,1712955635980,0
44391,1712955935972,0
44392,1712956235973,0
44393,1712956535957,0
44394,1712956835953,0
44395,1712957135971,0
44396,1712957435960,0
44397,1712957735970,0
44398,1712958035960,0
44399,1712958335972,0
44400,1712958635967,0
44401,1712958935958,0
44402,1712959235959,0
44403,1712959535962,0
44404,1712959835957,0
44405,1712960135965,0
44406,1712960435957,0
44407,1712960735960,0
44408,1712961035959,0
44409,1712961335967,0
44410,1712961635962,0
44411,1712961935838,0
44412,1712962235961,0
44413,1712962535964,0
44414,1712962835974,0
44415,1712963135955,0
44416,1712963435958,0
44417,1712963735974,0
44418,1712964035973,0
44419,1712964336039,0
44420,1712964635956,0
44421,1712964935962,0
44422,1712965235962,0
44423,1712965535971,0
44424,1712965835956,0
44425,1712966135970,0
44426,1712966435955,0
44427,1712966735968,0
44428,1712967035955,0
44429,1712967335996,0
44430,1712967635970,0
44431,1712967935966,0
44432,1712968235963,0
44433,1712968535963,0
44434,1712968835955,0
44435,1712969135962,0
44436,1712969435973,0
44437,1712969735966,0
44438,1712970035964,0
44439,1712970335960,0
44440,1712970635967,0
44441,1712970935977,0
44442,1712971235960,0
44443,1712971535974,0
44444,1712971835975,0
44445,1712972135853,0
44446,1712972435968,0
44447,1712972735971,0
44448,1712973035964,0
44449,1712973336072,0
44450,1712973636131,1
44451,1712973936156,0
44452,1712974236149,0
44453,1712974536161,0
44454,1712974836155,0
44455,1712975136155,0
